SpeciesName,Overview,Size,Morphology,Behavior,Distribution,Habitat,Habitat Details,CommonNames,Kingdom,Phylum,Class,Order,Family,Genus,Species,Conservation Status
Physeter macrocephalus,"The Sperm Whale, scientifically known as Physeter macrocephalus, is one of the largest and most iconic species of toothed whales. It is known for its massive head, which houses the largest brain of any animal on Earth, and its distinctive appearance.","Sperm Whales are among the largest of all cetaceans (whales and dolphins). Adult males typically reach lengths of 16 to 20 meters (52 to 66 feet), while females are somewhat smaller, ranging from 8 to 17 meters (26 to 56 feet). They can weigh between 25 to 50 metric tons (55,000 to 110,000 pounds).","These whales have a robust and streamlined body with a massive, block-shaped head that can make up to a third of their total body length. Their skin is typically dark gray or brownish-black. One of their most distinctive features is their lower jaw, which contains a series of large, conical teeth that can measure up to 20 centimeters (8 inches) in length.","Sperm Whales are known for their deep-diving abilities. They are capable of diving to incredible depths, often exceeding 1,000 meters (3,280 feet) in search of prey. Their diet primarily consists of squid, though they also eat fish and other cephalopods. They are social animals, often seen in groups called pods, which typically consist of adult females and their calves.","Sperm Whales are found in oceans worldwide, including both deep oceanic waters and coastal areas. They have a wide distribution, inhabiting various ocean basins.",These whales are highly adapted to life in the open ocean and are often found in deep waters far from the coastline. They are known to frequent underwater canyons and areas where deep-sea squid and other prey are abundant.,"Sperm Whales are renowned for their ability to hunt in deep, dark waters. They use echolocation to locate and capture their prey, and their large heads contain a specialized organ called the spermaceti organ, which is thought to be involved in buoyancy control and echolocation. They are important components of marine ecosystems and have played a historical role in whaling industries.

Sperm Whales are known for their complex vocalizations, often referred to as ""clicks,"" which they use for communication and echolocation. These whales have long been a subject of scientific study and fascination, and they continue to be protected due to their endangered status.","{'English': ['Cachalot', 'Cachelot', 'Pot Whale', 'Spermacet Whale', 'Sperm Whale'], 'Other': ['Sperm Whale']}",Animalia,Chordata,Mammalia,Cetacea,Physeteridae,Physeter,Physeter macrocephalus Linnaeus 1758,Vulnerable
Peponocephala electra,"The Melon-Headed Whale, scientifically known as Peponocephala electra, is a small species of cetacean known for its distinctive appearance and social behavior. Despite its common name, it is actually a member of the oceanic dolphin family, Delphinidae.","Melon-Headed Whales are relatively small dolphins, with adults typically reaching lengths of 2.5 to 3 meters (8 to 10 feet) and weighing between 150 to 200 kilograms (330 to 440 pounds). They have a slender, torpedo-shaped body.","These dolphins are known for their unique appearance. They have a bulbous, rounded forehead, which gives them their common name. Their bodies are typically dark gray to black, and they often have a white or pinkish patch on their belly and throat. They have long, slender beaks and a curved dorsal fin.","Melon-Headed Whales are highly social animals and are known to form large, cohesive groups called ""superpods."" These superpods can consist of hundreds or even thousands of individuals. They are often seen engaging in playful behaviors, such as leaping out of the water and riding the bow waves of boats. They are also skilled swimmers and are known for their agility.","These dolphins have a wide distribution and can be found in tropical and subtropical waters of the world's oceans. They are often seen in offshore waters, but they can also venture closer to shore.","Melon-Headed Whales are typically found in deep, pelagic waters, where they can access their preferred prey, which includes fish and squid. They are known to dive to significant depths in search of food.","These dolphins are known for their acrobatic displays and social interactions. While they are not frequently encountered by humans due to their offshore habitat, they are known to be curious and may approach boats at sea.

Melon-Headed Whales are fascinating creatures with complex social structures and behaviors. They are an important part of marine ecosystems and continue to be the subject of scientific study to better understand their biology and conservation needs..","{'English': ['Melon-headed Whale'], 'Other': ['Melonâ€headed Whale']}",Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Peponocephala,Peponocephala electra (Gray 1846),Least Concern
Paradoxurus jerdoni,"Jerdon's Palm Civet, scientifically known as Paradoxurus jerdoni, is a small carnivorous mammal belonging to the family Viverridae. It is native to parts of South Asia and is known for its arboreal (tree-dwelling) and nocturnal habits.","These civets are relatively small, with a body length typically ranging from 33 to 40 centimeters (13 to 16 inches) and a tail length of about 46 to 56 centimeters (18 to 22 inches). They usually weigh between 1 to 1.5 kilograms (2.2 to 3.3 pounds).","Jerdon's Palm Civets have a slender body with a coat that is typically gray or brownish-gray, adorned with dark spots and streaks. They have a distinctive facial pattern, including a white mask around their eyes and a series of dark stripes running from their forehead to the nape of the neck. Their long, bushy tail is often ringed with dark bands.","These civets are primarily arboreal, which means they spend most of their time in trees. They are agile climbers and are known for their nocturnal behavior, being most active during the night. Their diet consists of a variety of prey, including small mammals, birds, insects, and fruits.","Jerdon's Palm Civets are found in parts of South Asia, including India and Sri Lanka. They inhabit a range of habitats, including tropical and subtropical forests and wooded areas.","These civets are well adapted to life in forested environments and are often seen in areas with dense vegetation and access to trees, which they use for shelter and hunting.","Jerdon's Palm Civets are skilled climbers and hunters, relying on their agility to capture prey and navigate through the forest canopy. Their diet includes both animals and plant matter, and they play a role in controlling populations of insects and small mammals.","{'English': ['Brown Palm Civet', ""Jerdon's Palm Civet""], 'Other': ['Eng', 'Jerdonâ€™s Palm Civet']}",Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus,Paradoxurus jerdoni Blanford 1885,Least Concern
Pantholops hodgsonii,"The Tibetan Antelope, also known as the Chiru, is a remarkable and unique species of antelope native to the Tibetan Plateau and surrounding regions. It is known for its exceptional adaptations to the harsh high-altitude environment in which it lives.",Tibetan Antelopes are medium-sized antelopes with males being slightly larger than females. They typically have a body length ranging from 100 to 120 centimeters (39 to 47 inches) and a shoulder height of around 70 to 90 centimeters (28 to 35 inches). Their weight ranges from 35 to 50 kilograms (77 to 110 pounds).,"These antelopes have a distinctive appearance with a pale, sandy to light brown coat that is well adapted for camouflage in the arid, rocky terrain of their habitat. They have a short, pointed tail and slightly curved, lyre-shaped horns in males. Their face is adorned with white markings, and they have large, expressive eyes.","Tibetan Antelopes are well adapted to life in high-altitude environments, where oxygen levels are lower. They are known for their long-distance seasonal migrations in search of food and water. During the harsh winter months, they can descend to lower elevations.","These antelopes are found on the Tibetan Plateau and surrounding regions, including parts of China, India, and Nepal. They inhabit open plains, steppe, and alpine meadows at high altitudes.","Tibetan Antelopes are specially adapted to thrive in the extreme conditions of the Tibetan Plateau, including cold temperatures, low oxygen levels, and limited vegetation. They feed primarily on grasses and other plant matter.","Tibetan Antelopes are social animals and are often seen in herds, especially during migration periods. They play an important role in the ecosystem by grazing on vegetation and helping to shape the landscape. Their wool is highly valued and is traditionally used to make shahtoosh, a fine and luxurious fabric.

The Tibetan Antelope is an iconic species of the high-altitude plateau and is a symbol of the unique and fragile ecosystems of the region. Conservation efforts are in place to protect this species, as it faces threats from habitat degradation and poaching.","{'English': ['Chiru', 'Orong', 'Tibetan Antelope'], 'Other': ['Chiru']}",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Pantholops,Pantholops hodgsonii (Abel 1826),Endangered
Panthera leo,"The African Lion, scientifically known as Panthera leo, is one of the world's most iconic and majestic big cats. It is often referred to as the ""king of the jungle"" and is known for its powerful presence and social behavior.","African Lions are among the largest of the big cat species. Adult males typically have a body length ranging from 2.4 to 3.3 meters (8 to 11 feet), excluding their tail, which can add an additional 0.6 to 1.1 meters (2 to 3.5 feet). Males typically weigh between 150 to 250 kilograms (330 to 550 pounds), while females are smaller, weighing between 120 to 182 kilograms (264 to 400 pounds).","Lions have a distinctive appearance, characterized by their tawny-colored coat, which varies from pale yellow to deep golden-brown. They often have a lighter-colored belly. Male lions are known for their impressive mane of hair around their neck and head, which varies in color and can range from blond to black. Lions also have a tufted tail and powerful limbs.","African Lions are highly social animals, often forming groups called prides. Prides can consist of several females, their offspring, and one or more dominant males. They are known for their cooperative hunting behavior, where females work together to bring down prey. Lions are primarily crepuscular and nocturnal, which means they are most active during dawn and dusk.","African Lions are found across sub-Saharan Africa, inhabiting a variety of habitats, including savannas, grasslands, open woodlands, and scrublands. They have a wide but fragmented distribution.",These lions are well adapted to life in grassy and open habitats where prey is abundant. They rely on cover for hunting and shade during the hottest parts of the day.,"African Lions are apex predators and play a crucial role in maintaining the balance of their ecosystems by controlling herbivore populations. Their hunting strategies and social structure have been subjects of extensive research and fascination.

Despite their status as iconic symbols of the wild, African Lions face numerous threats, including habitat loss, human-wildlife conflict, and poaching. Conservation efforts are in place to protect and conserve this magnificent species.","{'English': ['Asiatic Lion', 'Indian Lion', 'Lion'], 'Other': ['Lion']}",Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo (Linnaeus 1758),Vulnerable
Ovis aries,"The domestic sheep, scientifically known as Ovis aries, is a widely distributed and economically significant domesticated livestock species. It belongs to the family Bovidae and is raised for various products, including meat, wool, and sometimes dairy products.","Domestic sheep exhibit a wide range of sizes and characteristics, depending on their breed and purpose. They can vary from small to medium-sized animals. Adult sheep can weigh anywhere from 40 to over 300 kilograms (88 to over 660 pounds) depending on the breed.","Domestic sheep come in various breeds, each with its own set of characteristics. They typically have a woolly coat, although some breeds are raised for their meat rather than their wool. The color, texture, and quality of the wool can vary greatly among different breeds. Sheep also have a distinctive, rectangular-shaped body with a tail that can be docked (shortened) in some management practices. Rams (males) often have curved horns, while ewes (females) can have smaller, less curved horns or none at all, depending on the breed.","Sheep are social animals and are often found in flocks. They have a strong flocking instinct, which provides protection from predators. They are herbivorous, primarily grazing on grass and other vegetation. Sheep have a gentle disposition, and they are relatively easy to manage.","Domestic sheep are raised in many parts of the world, with a long history of domestication dating back thousands of years. They are found on every continent except Antarctica and are adapted to various climates and environments.","Sheep are highly adaptable and can thrive in a wide range of habitats, from high-altitude mountain pastures to arid deserts and temperate grasslands. Their adaptability and versatility make them valuable livestock for many agricultural systems.","The domestication of sheep has led to a diverse range of breeds, each with specific characteristics and adaptations to different environments and management practices. Some are raised for meat production, while others are prized for their wool or milk.

Sheep have played a crucial role in human agriculture for centuries, providing essential resources such as wool for textiles and meat for consumption. They continue to be important livestock in many countries around the world.","{'English': ['Ladakh Urial', 'Urial']}",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries Linnaeus 1758,No data available
Ovis aries,,,,,,,,"{'English': ['Domestic Sheep', 'Mouflon', 'Red Sheep', 'Shapo', 'Shapu', 'Urial']}",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries Linnaeus 1758,No data available
Ovis ammon,"The Argali Sheep, scientifically known as Ovis ammon, is one of the largest and most majestic wild sheep species in the world. It is renowned for its impressive size, distinctive appearance, and its status as the largest wild sheep.","Argali Sheep are indeed large. Adult males, known as rams, can reach impressive sizes with body lengths ranging from 180 to 190 centimeters (71 to 75 inches) and shoulder heights of about 85 to 115 centimeters (33 to 45 inches). They can weigh between 100 to 180 kilograms (220 to 400 pounds) or even more.","These sheep are characterized by their robust build, with a thick, muscular body and strong legs. They have a distinctive appearance with a gray-brown to reddish-brown coat that often has a lighter underbelly. The rams are known for their impressive, curved horns, which can span up to 190 centimeters (75 inches) in length and have a distinctive spiral shape. Ewes (females) are smaller and lack the prominent horns.","Argali Sheep are primarily herbivorous, grazing on a variety of grasses, shrubs, and other vegetation. They are known for their agility and ability to navigate steep, rugged terrain in their mountainous habitats. They are also social animals and are often seen in small groups or herds, which can provide protection from predators.","Argali Sheep have a broad distribution across the high mountain regions of Central and East Asia. They can be found in countries such as Mongolia, China, Kazakhstan, Tajikistan, and parts of Russia. They inhabit alpine meadows, rocky slopes, and subalpine grasslands.","These sheep are well adapted to life in the high-altitude environments of the mountainous regions they inhabit. They are often found in steep, rocky terrain and open grasslands. Their strong, curved horns are used in combat among males during the mating season.","Argali Sheep are an important species in the ecosystems they inhabit. They are herbivores that contribute to shaping plant communities and are prey for large predators such as wolves and snow leopards. Due to habitat loss and hunting pressures, some populations of Argali Sheep are considered vulnerable or endangered, and conservation efforts are in place to protect these magnificent animals.","{'English': ['Great Tibetan Sheep', 'Nyan', 'Tibetan Argali']}",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis ammon (Linnaeus 1758),No data available
Ovis ammon,,,,,,,"Ovis ammon hodgsonii Blyth, 1941","{'English': ['Argali', 'Asian Wild Sheep', 'Marco Polo Sheep'], 'Other': ['Argali']}",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis ammon (Linnaeus 1758),Near Threatened
Orcinus orca,"The Killer Whale, or Orcinus orca, is one of the most recognizable and formidable marine mammals in the world. It is renowned for its striking black and white coloration, intelligence, and complex social structure.","Killer Whales are the largest members of the dolphin family (Delphinidae). They exhibit sexual dimorphism, with adult males typically being larger than adult females. Adult males can reach lengths of up to 9 meters (30 feet) and weigh between 5,000 to 6,800 kilograms (11,000 to 15,000 pounds). Adult females are slightly smaller, with lengths of about 7 to 8 meters (23 to 26 feet) and weights between 3,600 to 4,500 kilograms (8,000 to 10,000 pounds).","These marine mammals have a distinct appearance, with a sleek, torpedo-shaped body characterized by a striking black back, a white belly, and white patches around their eyes and on their sides. They have a prominent dorsal fin that can be quite tall and pointed, especially in adult males. Their large, paddle-shaped flippers are distinctive and well-suited for maneuvering through the water.","Killer Whales are highly intelligent and social animals. They live in complex family groups called pods, which can consist of several generations of individuals. They are known for their cooperative hunting strategies, often preying on fish, squid, and marine mammals. They are also known for their agility and ability to breach (jump out of the water) and spy-hop (raise their heads out of the water) to observe their surroundings.","Killer Whales have a global distribution and can be found in all oceans, from the Arctic to the Antarctic. Their distribution varies depending on the population, with some being more coastal and others inhabiting open ocean areas.","Killer Whales are highly adaptable and can thrive in a wide range of marine habitats, including coastal waters, deep oceanic waters, and polar regions. Their diet and behavior can vary among different populations, leading to the classification of different ecotypes.","These whales are apex predators and play a vital role in marine ecosystems. They are known for their sophisticated hunting techniques and their ability to prey on a variety of species, including seals, sea lions, and even other cetaceans. They are also known to have complex vocalizations and dialects within different pods.

Killer Whales are highly regarded for their intelligence and are subjects of extensive scientific research. Their conservation status varies among populations, with some facing threats such as habitat degradation, pollution, and declining prey populations. Conservation efforts are in place to protect these remarkable marine mammals.","{'English': ['Killer Whale', 'Orca'], 'Other': ['Killer Whale']}",Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcinus,Orcinus orca (Linnaeus 1758),Data Deficient
Orcaella brevirostris,"The Irrawaddy Dolphin, Orcaella brevirostris, is a unique and relatively small species of dolphin known for its distinctive appearance and freshwater and estuarine habitats. It is part of the family Delphinidae.","Irrawaddy Dolphins are relatively small compared to some other dolphin species. They typically have a body length ranging from 1.8 to 2.7 meters (6 to 9 feet) and a weight of approximately 75 to 140 kilograms (165 to 310 pounds). Their appearance is characterized by a rounded forehead and lack of a beak, giving them a more ""smiling"" or ""melon-shaped"" face.","These dolphins have a unique appearance with a rounded forehead and a lack of a pronounced beak, which distinguishes them from many other dolphin species. They typically have a pale gray to bluish-gray skin color. Their dorsal fin is small and triangular, and they have a relatively short and broad fluke.","These dolphins have a unique appearance with a rounded forehead and a lack of a pronounced beak, which distinguishes them from many other dolphin species. They typically have a pale gray to bluish-gray skin color. Their dorsal fin is small and triangular, and they have a relatively short and broad fluke.","Irrawaddy Dolphins inhabit a range of coastal and freshwater environments across South and Southeast Asia. They can be found in regions including the Bay of Bengal, the coastal waters of the Indian and Pacific Oceans, and various river systems in countries like India, Bangladesh, Myanmar, and Southeast Asian countries.","These dolphins are highly adaptable and can inhabit both marine and freshwater environments. They are commonly found in estuaries, rivers, and coastal waters. Their ability to thrive in freshwater makes them unique among cetaceans.","Irrawaddy Dolphins primarily feed on fish and crustaceans, and their slow movements and ability to surface calmly make them easier to spot than some other dolphin species. Their freshwater and estuarine habitats can pose challenges to their conservation due to human activities like fishing, habitat degradation, and boat traffic.

Efforts are in place to protect the Irrawaddy Dolphin, as it is classified as a vulnerable species. Conservation initiatives aim to address threats to their habitats and promote sustainable practices to ensure the survival of this distinctive and unique dolphin species.","{'English': ['Irrawaddy Dolphin', 'Snubfin Dolphin'], 'Other': ['Irrawaddy Dolphin']}",Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcaella,Orcaella brevirostris (Owen ex Gray 1866),Vulnerable
Neophocaena phocaenoides,"The Finless Porpoise, Neophocaena phocaenoides, is a small and distinctive marine mammal belonging to the family Phocoenidae. It is known for its lack of a dorsal fin, unique appearance, and preference for coastal and estuarine habitats.","Finless Porpoises are relatively small cetaceans. They typically have a body length ranging from 1.2 to 1.9 meters (4 to 6.2 feet) and a weight of about 30 to 45 kilograms (66 to 99 pounds). Their bodies are elongated, and they lack the prominent dorsal fin found in many other cetaceans.","These porpoises have a distinctive appearance characterized by a rounded, spindle-shaped body. Instead of a dorsal fin, they have a dorsal ridge covered with tough skin. They also have a small, triangular pectoral fin, a small fluke, and a rounded forehead. Their coloration varies, with a typically light gray to bluish-gray skin color.","Finless Porpoises are known for their agility and can be quite acrobatic in the water. They are often seen ""porpoising"" or leaping out of the water. They are social animals and are typically found in small groups or pods.","Finless Porpoises have a relatively wide distribution across the coastal and estuarine waters of the Indian and western Pacific Oceans. They are found in regions including the Bay of Bengal, the South China Sea, and the Sea of Japan.","These porpoises are well adapted to life in coastal and estuarine environments. They prefer shallow, nearshore waters, including bays, river mouths, and lagoons. They are known to navigate through areas with complex underwater structures.","Finless Porpoises primarily feed on a variety of prey, including fish, squid, and crustaceans. Their lack of a dorsal fin and streamlined body shape make them well-suited for navigating through areas with dense vegetation and structures. However, these habitats can also pose threats to their survival due to pollution, habitat degradation, and entanglement in fishing gear.

Finless Porpoises are considered vulnerable due to these threats, and conservation efforts are in place to protect and conserve this unique and distinctive species of cetacean..","{'English': ['Black Finless Porpoise', 'Finless Black Porpoise', 'Finless Porpoise'], 'Other': ['Finless Porpoise']}",Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Neophocaena,Neophocaena phocaenoides (G. Cuvier 1829),Vulnerable
Neofelis nebulosa,"The Clouded Leopard, Neofelis nebulosa, is a unique and elusive wild cat species known for its striking appearance and arboreal (tree-dwelling) habits. It is part of the family Felidae.","Clouded Leopards are medium-sized wild cats. They typically have a body length ranging from 66 to 109 centimeters (26 to 43 inches) and a tail length of about 80 to 91 centimeters (31 to 36 inches). Their weight varies, with males typically weighing between 16 to 23 kilograms (35 to 51 pounds) and females being slightly smaller.","These leopards have a distinctive appearance characterized by a cloud-like pattern on their coat, which consists of irregular dark patches on a pale background. This unique coat pattern provides excellent camouflage in their forested habitats. They have relatively short legs and a long tail with a black tip. Their face is marked with dark lines running from the eyes down to the neck.","Clouded Leopards are primarily arboreal and are known for their agility in trees. They have strong limbs and sharp claws, allowing them to climb and move with ease in the forest canopy. They are solitary and elusive, making them challenging to study and observe in the wild.","Clouded Leopards are found in the forests of Southeast Asia, including regions of Nepal, India, Bhutan, Bangladesh, Myanmar, Thailand, Cambodia, Laos, Vietnam, Malaysia, and parts of China.","These leopards are well adapted to life in dense, tropical and subtropical forests. They are known to inhabit both lowland and mountainous forests, where they use the trees for hunting, resting, and navigating their terrain.","Clouded Leopards are carnivorous and primarily prey on small mammals, birds, and sometimes larger prey. Their ability to climb trees allows them to hunt in the canopy, where they can ambush their prey from above. They are considered one of the most skilled climbers among wild cats.

Clouded Leopards are categorized as a vulnerable species due to habitat loss, illegal wildlife trade, and other threats. Conservation efforts are in place to protect their habitats and prevent poaching.","{'Assamese': ['Godha-futuki bagh'], 'English': ['Clouded Leopard'], 'Other': ['Clouded Leopard']}",Animalia,Chordata,Mammalia,Carnivora,Felidae,Neofelis,Neofelis nebulosa (Griffith 1821),Vulnerable
Naemorhedus griseus,"The Chinese Goral, Naemorhedus griseus, is a small and agile ungulate species belonging to the family Bovidae. It is known for its sure-footedness and preference for mountainous and forested habitats.","Chinese Gorals are relatively small, with adult males and females being similar in size. They typically have a body length ranging from 100 to 130 centimeters (39 to 51 inches) and a shoulder height of about 50 to 80 centimeters (20 to 31 inches). Their weight varies, with adults typically weighing between 20 to 30 kilograms (44 to 66 pounds).","These gorals have a distinctive appearance characterized by a robust body with short legs. They have a dark gray to brownish-gray coat with a white ventral (belly) side. Their face is marked with white patches around the eyes, on the nose, and on the throat. They also have backward-curving horns in both males and females.","Chinese Gorals are agile climbers and are often seen navigating steep, rocky terrain with ease. They are primarily crepuscular, meaning they are most active during dawn and dusk. They are known for their cautious and secretive behavior, making them challenging to observe in the wild.","Chinese Gorals are native to mountainous and forested regions of East Asia. They are found in countries including China, Myanmar, Thailand, Laos, Vietnam, and possibly parts of Cambodia.","These gorals are well adapted to life in rugged and mountainous terrain. They are often found in dense forests, rocky slopes, and alpine meadows at high elevations.","Chinese Gorals are herbivorous and primarily feed on a variety of vegetation, including grasses, shrubs, leaves, and herbs. Their habitat preferences provide them with a variety of plant resources. They are preyed upon by large carnivores such as leopards and wolves.

Chinese Gorals play an important role in their ecosystems by influencing vegetation through grazing and serving as prey for predators. Conservation efforts are in place to protect these unique and agile ungulates, as they face threats from habitat loss and hunting.","{'English': ['Chinese Goral', 'Long tailed goral', 'South China Goral'], 'Other': ['Chinese Goral']}",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,Naemorhedus griseus (Milne-Edwards 1871),Vulnerable
Naemorhedus goral,"The Himalayan Goral, Naemorhedus goral, is a small and agile ungulate species belonging to the family Bovidae. It is known for its remarkable climbing abilities and its preference for mountainous and forested habitats.","Himalayan Gorals are relatively small in size, with adult males and females being similar in size. They typically have a body length ranging from 95 to 130 centimeters (37 to 51 inches) and a shoulder height of about 60 to 80 centimeters (24 to 31 inches). Their weight varies, with adults typically weighing between 25 to 32 kilograms (55 to 70 pounds).","These gorals have a distinctive appearance characterized by a robust body with short legs. They have a dark gray to brownish-gray coat with a white ventral (belly) side. Their face is marked with white patches around the eyes, on the nose, and on the throat. They also have backward-curving horns in both males and females.","Himalayan Gorals are known for their agility and are often seen navigating steep, rocky terrain with ease. They are primarily crepuscular, meaning they are most active during dawn and dusk. They are cautious and secretive by nature, which makes them challenging to observe in the wild.","Himalayan Gorals are native to the mountainous and forested regions of South Asia. They are found in countries including India, Nepal, Bhutan, Pakistan, and parts of China.","These gorals are well adapted to life in rugged and mountainous terrain. They are often found in dense forests, rocky slopes, and alpine meadows at high elevations.","Himalayan Gorals are herbivorous and primarily feed on a variety of vegetation, including grasses, shrubs, leaves, and herbs. Their habitat preferences provide them with a variety of plant resources. They are preyed upon by large carnivores such as leopards, snow leopards, and wolves.

Himalayan Gorals play an important role in their ecosystems by influencing vegetation through grazing and serving as prey for predators. Conservation efforts are in place to protect these unique and agile ungulates, as they face threats from habitat loss and hunting.","{'Assamese': ['Deo-sagoli'], 'English': ['Goral', 'Himalayan Goral'], 'Other': ['Himalayan Goral']}",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,Naemorhedus goral (Hardwicke 1825),Near Threatened
Naemorhedus baileyi,"Bailey's Goral, Naemorhedus baileyi, is a small and elusive ungulate species belonging to the family Bovidae. It is known for its limited distribution and preference for mountainous and forested habitats.","Bailey's Gorals are relatively small in size. They typically have a body length ranging from 95 to 130 centimeters (37 to 51 inches) and a shoulder height of about 60 to 80 centimeters (24 to 31 inches). Their weight varies, with adults typically weighing between 25 to 32 kilograms (55 to 70 pounds).","These gorals have a distinctive appearance characterized by a robust body with short legs. They have a dark gray to brownish-gray coat with a white ventral (belly) side. Their face is marked with white patches around the eyes, on the nose, and on the throat. They also have backward-curving horns in both males and females.","Bailey's Gorals are known for their agility and are often seen navigating steep, rocky terrain with ease. They are primarily crepuscular, meaning they are most active during dawn and dusk. They are cautious and secretive by nature, which makes them challenging to observe in the wild.",Bailey's Goral has a limited distribution and is found in specific regions of Southeast Asia. It is known to inhabit areas of Vietnam and possibly parts of China.,"These gorals are well adapted to life in rugged and mountainous terrain. They are often found in dense forests, rocky slopes, and alpine meadows at high elevations.","Bailey's Gorals are herbivorous and primarily feed on a variety of vegetation, including grasses, shrubs, leaves, and herbs. Their habitat preferences provide them with a variety of plant resources. They are preyed upon by large carnivores such as leopards and wolves.

Due to their limited distribution and habitat requirements, Bailey's Goral is considered vulnerable and faces threats from habitat loss and hunting. Conservation efforts are in place to protect these unique and agile ungulates and ensure their survival in the wild.","{'English': ['Chinese Goral', 'Red Goral'], 'Other': ['Red Goral']}",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,Naemorhedus baileyi Pocock 1914,Vulnerable
Mustela sibirica,"The Siberian Weasel, Mustela sibirica, is a small carnivorous mammal belonging to the family Mustelidae. It is also known as the Siberian Least Weasel and is native to parts of Asia, including Siberia.","Siberian Weasels are among the smallest of the weasel species. They typically have a body length ranging from 16 to 26 centimeters (6 to 10 inches) and a tail length of about 10 to 16 centimeters (4 to 6 inches). Their weight can vary, but they are generally lightweight, with adults weighing around 30 to 70 grams (1 to 2.5 ounces).","These weasels have a slender, elongated body with short legs. Their fur is typically brown in summer and changes to white in winter, allowing them to blend into their snowy habitats. They have a white belly and a distinctive black-tipped tail.","Siberian Weasels are skilled hunters and are known for their agility and speed. They are primarily carnivorous, preying on a variety of small mammals, birds, and insects. They are solitary animals and are highly territorial.","As the name suggests, Siberian Weasels are primarily found in Siberia, which encompasses parts of Russia, China, Mongolia, and Kazakhstan. Their range extends into other parts of Asia, including the Himalayan region.","These weasels inhabit a range of environments, including forests, grasslands, and wetlands. They are often found in areas with access to prey and suitable shelter, such as burrows.","Siberian Weasels are agile and excellent hunters, often hunting prey much larger than themselves. They are known for their ability to enter the burrows of rodents and birds to capture their prey.

Conservation status information for Siberian Weasels can vary depending on specific populations and regions. In some areas, they may face threats from habitat loss and changes in land use. Due to their elusive and solitary nature, they are not extensively studied, making it important to monitor their populations in various habitats.","{'English': ['Kolinsky', 'Siberian Weasel'], 'Other': ['Siberian Weasel']}",Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela sibirica Pallas 1773,Least Concern
Mustela kathiah,"The Yellow-bellied Weasel, Mustela kathiah, is a small carnivorous mammal belonging to the family Mustelidae. It is native to parts of Asia and is known for its striking appearance and predatory behavior.","Yellow-bellied Weasels are small and slender. They typically have a body length ranging from 15 to 25 centimeters (6 to 10 inches) and a tail length of about 10 to 20 centimeters (4 to 8 inches). Their weight can vary, but adults generally weigh around 50 to 120 grams (1.8 to 4.2 ounces).","These weasels have a distinctive appearance characterized by a long, slender body and short legs. Their fur is typically reddish-brown on the upperparts, with a pale yellow or creamy-white belly, which gives them their name. They have a pointed face with sharp teeth and a long, bushy tail.","Yellow-bellied Weasels are skilled hunters and are known for their agility and speed. They are primarily carnivorous, preying on a variety of small mammals, birds, and insects. They are solitary animals and are highly territorial.","Yellow-bellied Weasels are native to various parts of Asia, including countries like India, Bhutan, Nepal, Myanmar, Thailand, Laos, Vietnam, and southern China.","These weasels are highly adaptable and can be found in a range of environments, including forests, grasslands, and agricultural areas. They are often associated with habitats that provide access to prey and suitable shelter.","Yellow-bellied Weasels are skilled and persistent hunters, often hunting prey much larger than themselves. They are known for their ability to enter the burrows of rodents and birds to capture their prey.

Conservation status information for Yellow-bellied Weasels can vary depending on specific populations and regions. They are not extensively studied, making it important to monitor their populations in various habitats. They are generally considered least concern in terms of conservation status.","{'English': ['Yellow-bellied Weasel'], 'Other': ['Yellow-bellied Weasel']}",Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela kathiah Hodgson 1835,Least Concern
